id;datum;user;gruppe
1;2020-09-22;Washington;grey cutting-edge Kina
2;2020-09-23;China engineer payment;Personal Loan Account
3;2020-09-23;GB Associate visualize;real-time
4;2020-09-22;multimedia Security world-class;online input Sleek
5;2020-09-22;transform haptic Personal Loan Account;wireless Mobility Future
6;2020-09-22;synthesize Silver Fantastic Wooden Sausages;Quality
7;2020-09-22;payment Soap Table;scalable
8;2020-09-23;Rubber Home Computers;primary invoice plum
9;2020-09-23;Indiana Frozen;Toys parse Nevada
10;2020-09-22;synergy Bacon Architect;Poland maximized Investment Account
